IP Range,Country,Region,City,Postal Code
40.103.23.0/28,NL,,AMSTERDAM,
40.103.31.224/28,NL,,AMSTERDAM,
40.103.32.32/28,NL,,AMSTERDAM,
40.103.32.96/28,NL,,AMSTERDAM,
40.103.32.160/28,NL,,AMSTERDAM,
40.103.32.224/28,NL,,AMSTERDAM,
40.103.33.32/28,NL,,AMSTERDAM,
40.103.33.96/28,NL,,AMSTERDAM,
40.103.33.160/28,NL,,AMSTERDAM,
40.103.33.224/28,NL,,AMSTERDAM,
40.103.34.32/28,NL,,AMSTERDAM,
40.103.37.16/28,NL,,AMSTERDAM,
40.103.37.80/28,NL,,AMSTERDAM,
40.103.37.144/28,NL,,AMSTERDAM,
40.103.37.208/28,NL,,AMSTERDAM,
40.103.38.16/28,NL,,AMSTERDAM,
40.103.38.80/28,NL,,AMSTERDAM,
40.103.38.144/28,NL,,AMSTERDAM,
40.103.38.208/28,NL,,AMSTERDAM,
40.103.39.16/28,NL,,AMSTERDAM,
40.103.39.80/28,NL,,AMSTERDAM,
40.103.44.176/28,NL,,AMSTERDAM,
40.103.44.240/28,NL,,AMSTERDAM,
40.103.45.48/28,NL,,AMSTERDAM,
40.103.45.112/28,NL,,AMSTERDAM,
40.103.45.176/28,NL,,AMSTERDAM,
40.103.45.240/28,NL,,AMSTERDAM,
40.103.46.48/28,NL,,AMSTERDAM,
40.103.46.112/28,NL,,AMSTERDAM,
40.103.46.176/28,NL,,AMSTERDAM,
40.103.46.240/28,NL,,AMSTERDAM,
40.103.58.48/28,NL,,AMSTERDAM,
40.103.58.112/28,NL,,AMSTERDAM,
40.103.58.176/28,NL,,AMSTERDAM,
40.103.58.240/28,NL,,AMSTERDAM,
40.103.59.48/28,NL,,AMSTERDAM,
40.107.16.0/24,NL,,AMSTERDAM,
40.107.22.0/24,NL,,AMSTERDAM,
40.107.25.0/24,NL,,AMSTERDAM,
40.107.105.0/24,NL,,AMSTERDAM,
40.107.247.0/24,NL,,AMSTERDAM,
40.108.139.0/24,NL,,AMSTERDAM,
40.108.143.0/24,NL,,AMSTERDAM,
40.108.151.0/24,NL,,AMSTERDAM,
40.108.152.0/24,NL,,AMSTERDAM,
40.108.176.0/22,NL,,AMSTERDAM,
40.108.191.0/24,NL,,AMSTERDAM,
40.108.192.0/23,NL,,AMSTERDAM,
40.108.195.0/24,NL,,AMSTERDAM,
40.108.211.0/24,NL,,AMSTERDAM,
40.108.212.0/24,NL,,AMSTERDAM,
40.108.230.0/24,NL,,AMSTERDAM,
40.108.241.0/24,NL,,AMSTERDAM,
40.108.243.0/24,NL,,AMSTERDAM,
40.108.251.0/24,NL,,AMSTERDAM,
40.108.255.0/24,NL,,AMSTERDAM,
40.112.36.128/25,NL,,AMSTERDAM,
40.112.37.0/26,NL,,AMSTERDAM,
40.112.38.192/26,NL,,AMSTERDAM,
40.112.96.0/19,NL,,AMSTERDAM,
40.113.96.0/19,NL,,AMSTERDAM,
